valid_time,d2m,t2m,latitude,longitude
2023-01-01 00:00:00,276.8495,284.89844,36.70000000000109,-6.099999999988086
2023-01-01 01:00:00,276.5932,284.5558,36.70000000000109,-6.099999999988086
2023-01-01 02:00:00,276.40308,284.42606,36.70000000000109,-6.099999999988086
2023-01-01 03:00:00,276.3867,284.29865,36.70000000000109,-6.099999999988086
2023-01-01 04:00:00,276.5439,284.07776,36.70000000000109,-6.099999999988086
2023-01-01 05:00:00,276.64386,283.6242,36.70000000000109,-6.099999999988086
2023-01-01 06:00:00,276.62958,283.27484,36.70000000000109,-6.099999999988086
2023-01-01 07:00:00,276.88745,283.96063,36.70000000000109,-6.099999999988086
2023-01-01 08:00:00,277.36072,284.20453,36.70000000000109,-6.099999999988086
2023-01-01 09:00:00,278.87103,286.0827,36.70000000000109,-6.099999999988086
2023-01-01 10:00:00,279.5752,289.28198,36.70000000000109,-6.099999999988086
2023-01-01 11:00:00,279.87344,291.13266,36.70000000000109,-6.099999999988086
2023-01-01 12:00:00,279.9524,292.71033,36.70000000000109,-6.099999999988086
2023-01-01 13:00:00,280.53827,293.40005,36.70000000000109,-6.099999999988086
2023-01-01 14:00:00,280.96448,293.50964,36.70000000000109,-6.099999999988086
2023-01-01 15:00:00,281.57825,293.0853,36.70000000000109,-6.099999999988086
2023-01-01 16:00:00,282.3777,292.04587,36.70000000000109,-6.099999999988086
2023-01-01 17:00:00,282.18402,290.29004,36.70000000000109,-6.099999999988086
2023-01-01 18:00:00,281.82965,288.6691,36.70000000000109,-6.099999999988086
2023-01-01 19:00:00,281.13263,287.94254,36.70000000000109,-6.099999999988086
2023-01-01 20:00:00,281.2676,287.66626,36.70000000000109,-6.099999999988086
2023-01-01 21:00:00,281.66998,287.47998,36.70000000000109,-6.099999999988086
2023-01-01 22:00:00,282.33563,287.31326,36.70000000000109,-6.099999999988086
2023-01-01 23:00:00,283.14893,287.23215,36.70000000000109,-6.099999999988086
2023-01-02 00:00:00,283.84216,287.10562,36.70000000000109,-6.099999999988086
2023-01-02 01:00:00,284.4383,287.14392,36.70000000000109,-6.099999999988086
2023-01-02 02:00:00,284.9237,287.1501,36.70000000000109,-6.099999999988086
2023-01-02 03:00:00,285.18762,286.93793,36.70000000000109,-6.099999999988086
2023-01-02 04:00:00,285.39038,286.91296,36.70000000000109,-6.099999999988086
2023-01-02 05:00:00,285.95187,287.10382,36.70000000000109,-6.099999999988086
2023-01-02 06:00:00,286.24014,287.39124,36.70000000000109,-6.099999999988086
2023-01-02 07:00:00,286.21686,287.06805,36.70000000000109,-6.099999999988086
2023-01-02 08:00:00,286.11136,287.0664,36.70000000000109,-6.099999999988086
2023-01-02 09:00:00,286.51212,287.94055,36.70000000000109,-6.099999999988086
2023-01-02 10:00:00,286.89307,288.78986,36.70000000000109,-6.099999999988086
2023-01-02 11:00:00,287.14764,289.74304,36.70000000000109,-6.099999999988086
2023-01-02 12:00:00,287.2476,290.3156,36.70000000000109,-6.099999999988086
2023-01-02 13:00:00,287.38785,290.5238,36.70000000000109,-6.099999999988086
2023-01-02 14:00:00,287.4696,290.24213,36.70000000000109,-6.099999999988086
2023-01-02 15:00:00,287.25043,289.77637,36.70000000000109,-6.099999999988086
2023-01-02 16:00:00,287.45874,288.8157,36.70000000000109,-6.099999999988086
2023-01-02 17:00:00,286.95868,288.3966,36.70000000000109,-6.099999999988086
2023-01-02 18:00:00,286.79395,287.90375,36.70000000000109,-6.099999999988086
2023-01-02 19:00:00,286.89374,287.33737,36.70000000000109,-6.099999999988086
2023-01-02 20:00:00,286.54395,286.8503,36.70000000000109,-6.099999999988086
2023-01-02 21:00:00,286.3255,286.63623,36.70000000000109,-6.099999999988086
2023-01-02 22:00:00,286.01822,286.3383,36.70000000000109,-6.099999999988086
2023-01-02 23:00:00,285.7243,286.08215,36.70000000000109,-6.099999999988086
2023-01-03 00:00:00,285.263,285.6638,36.70000000000109,-6.099999999988086
2023-01-03 01:00:00,284.646,285.14896,36.70000000000109,-6.099999999988086
2023-01-03 02:00:00,283.93658,284.809,36.70000000000109,-6.099999999988086
2023-01-03 03:00:00,283.09644,284.2032,36.70000000000109,-6.099999999988086
2023-01-03 04:00:00,282.4771,283.81464,36.70000000000109,-6.099999999988086
2023-01-03 05:00:00,281.98914,283.4726,36.70000000000109,-6.099999999988086
2023-01-03 06:00:00,281.63205,283.16882,36.70000000000109,-6.099999999988086
2023-01-03 07:00:00,282.0381,283.52686,36.70000000000109,-6.099999999988086
2023-01-03 08:00:00,281.93097,283.3404,36.70000000000109,-6.099999999988086
2023-01-03 09:00:00,282.3382,283.9938,36.70000000000109,-6.099999999988086
2023-01-03 10:00:00,283.01138,285.49524,36.70000000000109,-6.099999999988086
2023-01-03 11:00:00,283.6919,287.12277,36.70000000000109,-6.099999999988086
2023-01-03 12:00:00,284.35236,288.77985,36.70000000000109,-6.099999999988086
2023-01-03 13:00:00,284.64456,289.87003,36.70000000000109,-6.099999999988086
2023-01-03 14:00:00,284.6292,290.58234,36.70000000000109,-6.099999999988086
2023-01-03 15:00:00,284.3313,290.927,36.70000000000109,-6.099999999988086
2023-01-03 16:00:00,284.06384,291.01862,36.70000000000109,-6.099999999988086
2023-01-03 17:00:00,284.43262,290.16907,36.70000000000109,-6.099999999988086
2023-01-03 18:00:00,284.2846,288.34946,36.70000000000109,-6.099999999988086
2023-01-03 19:00:00,284.31842,287.50552,36.70000000000109,-6.099999999988086
2023-01-03 20:00:00,284.22864,286.94464,36.70000000000109,-6.099999999988086
2023-01-03 21:00:00,284.10373,286.42996,36.70000000000109,-6.099999999988086
2023-01-03 22:00:00,283.9308,285.79443,36.70000000000109,-6.099999999988086
2023-01-03 23:00:00,283.76962,285.15662,36.70000000000109,-6.099999999988086
2023-01-04 00:00:00,283.5011,284.40134,36.70000000000109,-6.099999999988086
2023-01-04 01:00:00,283.3178,283.98715,36.70000000000109,-6.099999999988086
2023-01-04 02:00:00,283.04535,283.54752,36.70000000000109,-6.099999999988086
2023-01-04 03:00:00,282.73688,283.18176,36.70000000000109,-6.099999999988086
2023-01-04 04:00:00,282.59048,283.01456,36.70000000000109,-6.099999999988086
2023-01-04 05:00:00,282.4538,282.8919,36.70000000000109,-6.099999999988086
2023-01-04 06:00:00,282.1551,282.57794,36.70000000000109,-6.099999999988086
2023-01-04 07:00:00,282.32623,282.85812,36.70000000000109,-6.099999999988086
2023-01-04 08:00:00,282.03503,282.5188,36.70000000000109,-6.099999999988086
2023-01-04 09:00:00,283.3468,284.1736,36.70000000000109,-6.099999999988086
2023-01-04 10:00:00,284.54562,287.0225,36.70000000000109,-6.099999999988086
2023-01-04 11:00:00,284.81787,288.96466,36.70000000000109,-6.099999999988086
2023-01-04 12:00:00,284.8856,290.34253,36.70000000000109,-6.099999999988086
2023-01-04 13:00:00,284.79257,291.275,36.70000000000109,-6.099999999988086
2023-01-04 14:00:00,284.53464,291.83423,36.70000000000109,-6.099999999988086
2023-01-04 15:00:00,284.06772,292.0161,36.70000000000109,-6.099999999988086
2023-01-04 16:00:00,283.98016,291.6161,36.70000000000109,-6.099999999988086
2023-01-04 17:00:00,284.10242,290.31378,36.70000000000109,-6.099999999988086
2023-01-04 18:00:00,284.01862,288.4486,36.70000000000109,-6.099999999988086
2023-01-04 19:00:00,283.87122,286.8803,36.70000000000109,-6.099999999988086
2023-01-04 20:00:00,283.48328,285.64008,36.70000000000109,-6.099999999988086
2023-01-04 21:00:00,283.10156,284.69873,36.70000000000109,-6.099999999988086
2023-01-04 22:00:00,282.67047,283.91174,36.70000000000109,-6.099999999988086
2023-01-04 23:00:00,282.39365,283.49414,36.70000000000109,-6.099999999988086
2023-01-05 00:00:00,282.07574,283.08307,36.70000000000109,-6.099999999988086
2023-01-05 01:00:00,281.82837,282.76978,36.70000000000109,-6.099999999988086
2023-01-05 02:00:00,281.51782,282.37634,36.70000000000109,-6.099999999988086
2023-01-05 03:00:00,281.20944,281.9784,36.70000000000109,-6.099999999988086
2023-01-05 04:00:00,280.93695,281.66742,36.70000000000109,-6.099999999988086
2023-01-05 05:00:00,280.67712,281.37994,36.70000000000109,-6.099999999988086
2023-01-05 06:00:00,280.41714,281.10272,36.70000000000109,-6.099999999988086
2023-01-05 07:00:00,280.3222,281.22925,36.70000000000109,-6.099999999988086
2023-01-05 08:00:00,280.2102,281.07455,36.70000000000109,-6.099999999988086
2023-01-05 09:00:00,281.6808,282.93353,36.70000000000109,-6.099999999988086
2023-01-05 10:00:00,283.19006,286.36612,36.70000000000109,-6.099999999988086
2023-01-05 11:00:00,283.79193,288.44543,36.70000000000109,-6.099999999988086
2023-01-05 12:00:00,284.0719,289.8861,36.70000000000109,-6.099999999988086
2023-01-05 13:00:00,284.05676,290.7826,36.70000000000109,-6.099999999988086
2023-01-05 14:00:00,283.87515,291.21237,36.70000000000109,-6.099999999988086
2023-01-05 15:00:00,283.534,291.26562,36.70000000000109,-6.099999999988086
2023-01-05 16:00:00,283.32532,290.9591,36.70000000000109,-6.099999999988086
2023-01-05 17:00:00,283.4137,290.02982,36.70000000000109,-6.099999999988086
2023-01-05 18:00:00,284.0445,288.02216,36.70000000000109,-6.099999999988086
2023-01-05 19:00:00,283.45084,287.03497,36.70000000000109,-6.099999999988086
2023-01-05 20:00:00,283.13257,285.2782,36.70000000000109,-6.099999999988086
2023-01-05 21:00:00,282.58264,283.86273,36.70000000000109,-6.099999999988086
2023-01-05 22:00:00,282.1396,282.99255,36.70000000000109,-6.099999999988086
2023-01-05 23:00:00,281.70764,282.35156,36.70000000000109,-6.099999999988086
2023-01-06 00:00:00,281.32645,281.836,36.70000000000109,-6.099999999988086
2023-01-06 01:00:00,280.94595,281.20007,36.70000000000109,-6.099999999988086
2023-01-06 02:00:00,280.79318,280.95813,36.70000000000109,-6.099999999988086
2023-01-06 03:00:00,280.7877,280.95975,36.70000000000109,-6.099999999988086
2023-01-06 04:00:00,280.4905,280.74323,36.70000000000109,-6.099999999988086
2023-01-06 05:00:00,280.41663,280.771,36.70000000000109,-6.099999999988086
2023-01-06 06:00:00,280.177,280.59375,36.70000000000109,-6.099999999988086
2023-01-06 07:00:00,280.01678,280.4377,36.70000000000109,-6.099999999988086
