valid_time,d2m,t2m,latitude,longitude
2023-01-01 00:00:00,280.08386,286.7793,36.50000000000109,-6.099999999988086
2023-01-01 01:00:00,279.85883,286.70422,36.50000000000109,-6.099999999988086
2023-01-01 02:00:00,279.6687,286.74637,36.50000000000109,-6.099999999988086
2023-01-01 03:00:00,279.55466,286.7791,36.50000000000109,-6.099999999988086
2023-01-01 04:00:00,279.54977,286.75745,36.50000000000109,-6.099999999988086
2023-01-01 05:00:00,279.61456,286.61444,36.50000000000109,-6.099999999988086
2023-01-01 06:00:00,279.65497,286.47015,36.50000000000109,-6.099999999988086
2023-01-01 07:00:00,280.0066,286.89227,36.50000000000109,-6.099999999988086
2023-01-01 08:00:00,279.95837,287.02484,36.50000000000109,-6.099999999988086
2023-01-01 09:00:00,280.50775,288.06512,36.50000000000109,-6.099999999988086
2023-01-01 10:00:00,281.3506,289.6765,36.50000000000109,-6.099999999988086
2023-01-01 11:00:00,281.58243,290.85336,36.50000000000109,-6.099999999988086
2023-01-01 12:00:00,281.94653,291.84314,36.50000000000109,-6.099999999988086
2023-01-01 13:00:00,282.47186,292.2692,36.50000000000109,-6.099999999988086
2023-01-01 14:00:00,282.64612,292.34753,36.50000000000109,-6.099999999988086
2023-01-01 15:00:00,282.93958,292.05405,36.50000000000109,-6.099999999988086
2023-01-01 16:00:00,283.5808,291.35446,36.50000000000109,-6.099999999988086
2023-01-01 17:00:00,283.57855,290.11035,36.50000000000109,-6.099999999988086
2023-01-01 18:00:00,283.49176,288.99332,36.50000000000109,-6.099999999988086
2023-01-01 19:00:00,283.1092,288.49527,36.50000000000109,-6.099999999988086
2023-01-01 20:00:00,283.35745,288.32056,36.50000000000109,-6.099999999988086
2023-01-01 21:00:00,283.67194,288.22998,36.50000000000109,-6.099999999988086
2023-01-01 22:00:00,284.13446,288.12576,36.50000000000109,-6.099999999988086
2023-01-01 23:00:00,284.63916,288.11887,36.50000000000109,-6.099999999988086
2023-01-02 00:00:00,285.14294,288.08414,36.50000000000109,-6.099999999988086
2023-01-02 01:00:00,285.60236,288.13806,36.50000000000109,-6.099999999988086
2023-01-02 02:00:00,285.89636,288.21454,36.50000000000109,-6.099999999988086
2023-01-02 03:00:00,286.0763,287.96136,36.50000000000109,-6.099999999988086
2023-01-02 04:00:00,286.2185,287.88757,36.50000000000109,-6.099999999988086
2023-01-02 05:00:00,286.58078,287.91827,36.50000000000109,-6.099999999988086
2023-01-02 06:00:00,286.73428,288.04163,36.50000000000109,-6.099999999988086
2023-01-02 07:00:00,286.4317,287.695,36.50000000000109,-6.099999999988086
2023-01-02 08:00:00,286.18753,287.59766,36.50000000000109,-6.099999999988086
2023-01-02 09:00:00,286.2504,288.3683,36.50000000000109,-6.099999999988086
2023-01-02 10:00:00,286.64307,289.26642,36.50000000000109,-6.099999999988086
2023-01-02 11:00:00,286.76288,290.03015,36.50000000000109,-6.099999999988086
2023-01-02 12:00:00,287.0054,290.3039,36.50000000000109,-6.099999999988086
2023-01-02 13:00:00,287.11832,290.17224,36.50000000000109,-6.099999999988086
2023-01-02 14:00:00,287.42273,289.94525,36.50000000000109,-6.099999999988086
2023-01-02 15:00:00,287.35785,289.58105,36.50000000000109,-6.099999999988086
2023-01-02 16:00:00,287.5232,288.99734,36.50000000000109,-6.099999999988086
2023-01-02 17:00:00,287.154,288.6759,36.50000000000109,-6.099999999988086
2023-01-02 18:00:00,286.9131,288.32172,36.50000000000109,-6.099999999988086
2023-01-02 19:00:00,287.1281,287.87253,36.50000000000109,-6.099999999988086
2023-01-02 20:00:00,286.9756,287.39523,36.50000000000109,-6.099999999988086
2023-01-02 21:00:00,286.83527,287.1538,36.50000000000109,-6.099999999988086
2023-01-02 22:00:00,286.65884,286.89883,36.50000000000109,-6.099999999988086
2023-01-02 23:00:00,286.48993,286.6798,36.50000000000109,-6.099999999988086
2023-01-03 00:00:00,286.14386,286.322,36.50000000000109,-6.099999999988086
2023-01-03 01:00:00,285.69873,285.89114,36.50000000000109,-6.099999999988086
2023-01-03 02:00:00,285.02057,285.58438,36.50000000000109,-6.099999999988086
2023-01-03 03:00:00,284.27612,285.12897,36.50000000000109,-6.099999999988086
2023-01-03 04:00:00,283.63336,284.7658,36.50000000000109,-6.099999999988086
2023-01-03 05:00:00,283.12976,284.4394,36.50000000000109,-6.099999999988086
2023-01-03 06:00:00,282.74924,284.10828,36.50000000000109,-6.099999999988086
2023-01-03 07:00:00,282.98926,284.2964,36.50000000000109,-6.099999999988086
2023-01-03 08:00:00,282.89972,284.13727,36.50000000000109,-6.099999999988086
2023-01-03 09:00:00,283.18976,284.53287,36.50000000000109,-6.099999999988086
2023-01-03 10:00:00,283.6559,285.60657,36.50000000000109,-6.099999999988086
2023-01-03 11:00:00,284.52197,287.08176,36.50000000000109,-6.099999999988086
2023-01-03 12:00:00,285.0965,288.58453,36.50000000000109,-6.099999999988086
