datetime_utc,dewpoint_2m_C,temperature_2m_C,surface_pressure_hPa,total_precip_mm,ssrd_wm2,strd_wm2,solar_zenith,solar_azimuth,clearsky_ghi,clearsky_dni,clearsky_dhi,hour_sin,hour_cos,month_sin,month_cos,pv_generation_gwh,ssrd_wm2_forecast,temperature_2m_C_forecast,dewpoint_2m_C_forecast,surface_pressure_hPa_forecast,total_precip_mm_forecast,kt_forecast,dewpoint_depression_C_forecast
2023-01-01 00:00:00,-0.3696201081314716,7.148917063148802,961.373901349481,0.0,0.0,270.5771671953095,161.76922914174256,355.3232485502904,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.001,0.0,7.263538062283738,-0.19666955017301058,968.4704152249134,0.0,0.0,7.460207612456748
2023-01-01 01:00:00,-0.6814160250864925,7.030921505190332,961.1071586505192,0.0,0.0,270.7410455233564,158.6213718289186,35.82803780281234,0.0,0.0,0.0,0.2588190451025207,0.9659258262890684,0.0,1.0,0.001,0.0,6.988278546712802,-0.771842560553633,968.0323529411764,0.0,0.0,7.760121107266436
2023-01-01 02:00:00,-1.03073085640137,6.917501712802791,960.9657394463668,0.0,0.0,270.82195355752594,150.07992018163438,61.35365184680958,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,0.0,1.0,0.001,0.0,6.690311418685122,-0.7128027681660898,968.1432958477508,0.0,0.0,7.403114186851211
2023-01-01 03:00:00,-1.3495321669549885,6.801441241349513,960.7381179930798,0.0,0.0,269.96749513408304,139.53314338362924,76.96598482631444,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,1.0,0.001,0.0,6.384169550173011,-0.6845155709342565,967.686332179931,0.0,0.0,7.068685121107268
2023-01-01 04:00:00,-1.5596887370241936,6.64713471020762,960.497523702422,0.0,0.0,272.465462622549,128.3585983074757,88.2745938760132,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0,,0.0,6.151643598615918,-0.6749134948096884,967.3757352941178,0.0,0.0,6.826557093425606
2023-01-01 05:00:00,-1.625974320934241,6.140256846885835,960.1927482698962,0.0,0.0,268.6229077758554,117.10772439390811,97.7996362703052,0.0,0.0,0.0,0.9659258262890684,0.2588190451025207,0.0,1.0,0.001,0.0,5.843425605536332,-0.620544982698962,966.9083044982699,0.0,0.0,6.463970588235294
2023-01-01 06:00:00,-1.6594476081314629,5.682769160899685,960.1575505190312,0.0,0.0,268.5422447496156,106.09671763010874,106.75826787041213,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0,,0.0,5.379671280276817,0.40804498269896183,967.1544550173012,0.0,0.0,4.971626297577855
2023-01-01 07:00:00,-1.3770577984428705,5.977595493079601,960.5786804498272,0.0,0.0,280.9675284746252,95.5959379867337,115.8816893462722,0.0,0.0,0.0,0.9659258262890684,-0.2588190451025206,0.0,1.0,4.375,0.0,5.498269896193772,0.2618512110726644,967.3976211072666,0.0,0.0,5.236418685121108
2023-01-01 08:00:00,-1.203385579584748,6.038411937716273,960.7394373702424,0.0,8.03550148981161,273.8699763312188,85.72868812215071,125.7166692390378,24.34703055788393,189.8951999492087,10.179385033423785,0.8660254037844387,-0.4999999999999998,0.0,1.0,117.986,8.893166089965398,5.644420415224914,0.18044982698961926,967.4192474048443,0.0,0.36526697039387657,5.463970588235295
2023-01-01 09:00:00,0.4309627292387882,7.677150350346045,960.7695155709342,0.0,99.24682021337946,276.3543776432141,77.35033898228778,136.7190266459006,163.25563026143786,584.6997005550944,35.20649138954797,0.7071067811865476,-0.7071067811865475,0.0,1.0,349.055,105.83520761245676,7.144939446366783,1.3208910034602077,967.6574394463669,0.0,0.6482790666574382,5.824048442906575
