datetime_utc,dewpoint_2m_C,temperature_2m_C,surface_pressure_hPa,total_precip_mm,ssrd_wm2,strd_wm2,solar_zenith,solar_azimuth,clearsky_ghi,clearsky_dni,clearsky_dhi,hour_sin,hour_cos,month_sin,month_cos,pv_generation_gwh
2023-01-01 00:00:00,-0.36962010813147167,7.148917063148802,961.373901349481,0.0,0.0,270.5771671953095,161.76922914174256,355.3232485502904,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.001
2023-01-01 01:00:00,-0.6814160250864925,7.0309215051903315,961.1071586505191,0.0,0.0,270.7410455233564,158.6213718289186,35.82803780281234,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,0.0,1.0,0.001
2023-01-01 02:00:00,-1.03073085640137,6.917501712802791,960.9657394463668,0.0,0.0,270.82195355752594,150.07992018163438,61.35365184680958,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.001
2023-01-01 03:00:00,-1.3495321669549885,6.801441241349513,960.7381179930798,0.0,0.0,269.96749513408304,139.53314338362924,76.96598482631444,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,1.0,0.001
2023-01-01 04:00:00,-1.5596887370241936,6.64713471020762,960.4975237024221,0.0,0.0,272.465462622549,128.3585983074757,88.2745938760132,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0,
2023-01-01 05:00:00,-1.625974320934241,6.140256846885835,960.1927482698962,0.0,0.0,268.6229077758554,117.10772439390811,97.79963627030519,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.001
2023-01-01 06:00:00,-1.6594476081314629,5.682769160899685,960.1575505190311,0.0,0.0,268.5422447496156,106.09671763010874,106.75826787041211,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0,
2023-01-01 07:00:00,-1.3770577984428705,5.977595493079601,960.5786804498272,0.0,0.0,280.96752847462517,95.5959379867337,115.88168934627221,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,0.0,1.0,4.375
2023-01-01 08:00:00,-1.2033855795847481,6.038411937716273,960.7394373702424,0.0,8.03550148981161,273.86997633121877,85.72868812215071,125.7166692390378,24.347030557883926,189.8951999492087,10.179385033423785,0.8660254037844387,-0.4999999999999998,0.0,1.0,117.986
2023-01-01 09:00:00,0.43096272923878826,7.677150350346045,960.7695155709342,0.0,99.24682021337946,276.35437764321415,77.35033898228778,136.7190266459006,163.25563026143786,584.6997005550944,35.20649138954797,0.7071067811865476,-0.7071067811865475,0.0,1.0,349.055
2023-01-01 10:00:00,2.7110782655709627,10.563590194636713,960.7695041522492,0.0,231.3979366109189,279.8733055795848,70.57167801469933,149.21470567309166,294.33843784570763,738.5344927971918,48.67111617705911,0.49999999999999994,-0.8660254037844387,0.0,1.0,429.266
2023-01-01 11:00:00,2.131946384083065,13.215332318339124,960.3161487889273,0.0,347.4632617262591,281.45623906670517,66.02101992945688,163.23583261539784,382.328711591285,802.7937669813551,56.05279117602551,0.258819045102521,-0.9659258262890682,0.0,1.0,351.407
2023-01-01 12:00:00,2.9887206833910236,14.819073429930805,959.3686115570933,0.0,411.19944444444445,287.8522820549789,64.2072283728765,178.3172177866215,416.9126987617248,823.0746366042515,58.748475646626865,1.2246467991473532e-16,-1.0,0.0,1.0,333.48
2023-01-01 13:00:00,3.8656708391003676,15.777375480103824,958.4301304844291,0.0,417.5298459727028,288.40435553633216,65.3682416730312,193.51751083073867,394.81813209388224,810.3511420665654,57.03239300338916,-0.2588190451025208,-0.9659258262890683,0.0,1.0,241.45
2023-01-01 14:00:00,4.78645018598619,16.11754813148792,957.8527429411766,0.0,342.2869788062283,296.5406641676278,69.34914084576411,207.83521176846025,318.1051575097594,757.9313454546118,50.73968209500314,-0.4999999999999997,-0.8660254037844388,0.0,1.0,211.902
2023-01-01 15:00:00,5.911426842560572,15.802857084775116,957.4865693771627,0.0,240.59736663783158,298.49908064206073,75.68409707557743,220.68357565159062,195.11475042232786,631.5132347417075,38.86350284613436,-0.7071067811865471,-0.7071067811865479,0.0,1.0,143.417
2023-01-01 16:00:00,6.24626354671282,14.61636217993081,957.3961403114185,0.0,127.75069636678201,296.2769264225298,83.77269741776695,231.9993857587593,50.77983072732039,309.5357083621521,17.052525447715293,-0.8660254037844384,-0.5000000000000004,0.0,1.0,10.838
2023-01-01 17:00:00,5.831474433391035,12.867969926470593,957.5454375432525,0.0,19.71987600922722,291.4950694444444,93.36374908812185,242.06181307411728,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.002
2023-01-01 18:00:00,5.4871394160899785,11.435891734429088,957.7328256055365,0.0,0.0,287.14532006920416,103.71166998562387,251.30636408535688,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.002
2023-01-01 19:00:00,4.064979446366815,10.91437698961941,957.3615683391004,0.0008523463,0.0,302.5984328143022,114.6316378906433,260.2575661537993,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,0.0,1.0,
2023-01-01 20:00:00,3.6793943685121206,10.324523066609009,957.3991801038063,0.0,0.0,302.880041810842,125.85040148340826,269.5913140384641,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.001
2023-01-01 21:00:00,3.357453715397945,10.070980640138425,957.6778261245674,0.0,0.0,306.4173625528643,137.0707737851311,280.37580815474763,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,0.0,1.0,
2023-01-01 22:00:00,3.151048724048456,9.906082166955049,957.9623615570935,0.0,0.0,308.23337658592845,147.81951837748392,294.7274076741886,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.001
2023-01-01 23:00:00,3.048462383218019,9.543378274221483,957.8035546366781,0.01600972556228374,0.0,312.02079224336796,156.98883219225308,317.3998128635232,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.002
2023-01-02 00:00:00,2.99179459342563,9.379931807958505,957.6447259515571,0.057783892733564025,0.0,313.47532439446366,161.67946445193877,354.99667935286277,0.0,0.0,0.0,0.0,1.0,0.0,1.0,
2023-01-02 01:00:00,2.92567378460212,9.557041033737049,957.4885380622837,0.002994371215397924,0.0,312.10152821030374,158.60011585236296,35.45872875063662,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,0.0,1.0,
2023-01-02 02:00:00,3.0100340484429147,9.533250103806262,957.4386354671283,0.009521484256055365,0.0,312.35302881103416,150.0994205209735,61.082710305401974,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.001
2023-01-02 03:00:00,3.14807355536333,9.07463323529415,957.6667380622839,0.009645384328823533,0.0,310.17604724144564,139.56869093542966,76.76260355224302,0.0,0.0,0.0,0.7071067811865475,0.7071067811865476,0.0,1.0,
2023-01-02 04:00:00,3.4154547448097192,8.718425454152271,957.7610084775087,0.043989484885813154,0.0,313.27084888023836,128.39857115571024,88.10769640085505,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0,
2023-01-02 05:00:00,3.7313829152249314,8.556574195501765,957.8716524221454,0.016132811103157438,0.0,313.64633956891583,117.14588625287729,97.65184335797821,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.001
2023-01-02 06:00:00,3.933018196366798,8.436644303633233,958.1967740830448,0.014009360420761244,0.0,314.6978763576509,106.12872975605353,106.61949064363145,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0,
2023-01-02 07:00:00,3.408096301903147,8.115862314013855,959.0238899653981,0.0070195751189446355,0.0,309.10855560361404,95.61795920487455,115.74554491844277,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,0.0,1.0,1.129
2023-01-02 08:00:00,4.479473875432558,7.6730268122837675,959.9482899653981,0.001578408099913495,4.197372164552095,317.14798046424454,85.73650366830512,125.57912908086563,24.236733863530926,189.0278550575569,10.158162210517926,0.8660254037844387,-0.4999999999999998,0.0,1.0,34.258
2023-01-02 09:00:00,5.447824256055379,8.684977318339131,960.6181358131489,0.007407794578070934,40.0680944828912,330.8654064542484,77.34022550163246,136.5784417452745,163.39707100003594,584.5775432000764,35.272865557877715,0.7071067811865476,-0.7071067811865475,0.0,1.0,79.103
2023-01-02 10:00:00,6.147591323529436,9.808358330449863,960.9943669550174,0.05435852970540223,105.50334246443677,325.525764009035,70.53914492896722,149.07282715101454,294.9128000890478,738.7233287013594,48.786499138965716,0.49999999999999994,-0.8660254037844387,0.0,1.0,141.11
2023-01-02 11:00:00,6.377826730103832,10.894141392733598,960.9721323183392,0.14692434497859,147.3788574106113,332.082415056709,65.96305672624025,163.0989467898594,383.37807481977563,803.1704007819898,56.20661955753613,0.258819045102521,-0.9659258262890682,0.0,1.0,188.634
2023-01-02 12:00:00,6.68925905709345,11.655657612456778,960.3982053633217,0.2551361142133434,179.94906454248365,333.33214677047295,64.12373796230027,178.19519906984658,418.43382779814425,823.6532512488844,58.93770870721002,1.2246467991473532e-16,-1.0,0.0,1.0,263.482
2023-01-02 13:00:00,6.985118295847773,12.453073062283767,959.9256939446368,0.1620712144666955,221.67974697231836,333.3527527873895,65.26286868477837,193.41932361228842,396.7681471426782,811.2405659680154,57.25661071418247,-0.2588190451025208,-0.9659258262890683,0.0,1.0,228.309
