datetime_utc,hour_sin,hour_cos,month_sin,month_cos,doy_sin,doy_cos,solar_zenith,solar_azimuth,clearsky_ghi,dewpoint_2m_C,temperature_2m_C,surface_pressure_hPa,total_precip_mm,ssrd_wm2,strd_wm2,kt,dewpoint_depression_C,pv_generation_mwh
2023-01-01 00:00:00,0.0,1.0,0.0,1.0,0.017201575418260506,0.9998520419557735,1.9993702743405188,1.5561018909451763,-0.748202866755617,-0.5645020051773779,-0.8141686410826937,0.9056731615987581,-0.23742980795845706,-0.714452847323363,-0.38505187642942784,-0.8542347475546543,-0.5593912023907436,-0.7503185650165989
2023-01-01 01:00:00,0.2588190451025207,0.9659258262890684,0.0,1.0,0.017201575418260506,0.9998520419557735,1.9942252251177026,-1.5609258368051688,-0.748202866755617,-0.6491563109771704,-0.8455582015693767,0.8586503041277658,-0.24092083500410985,-0.714452847323363,-0.42813740693382235,-0.8542347475546543,-0.5413803892652526,-0.7503185650165989
2023-01-01 02:00:00,0.4999999999999999,0.8660254037844387,0.0,1.0,0.017201575418260506,0.9998520419557735,1.785844985141595,-1.2427367035989108,-0.748202866755617,-0.747286163009905,-0.839295606665908,0.7884954598707511,-0.22743847973811251,-0.714452847323363,-0.07057420333804858,-0.8542347475546543,-0.472590756945095,-0.7503185650165989
2023-01-01 03:00:00,0.7071067811865475,0.7071067811865476,0.0,1.0,0.017201575418260506,0.9998520419557735,1.497289713739794,-1.065282386527314,-0.748202866755617,-0.8487540005692705,-0.8249187881549768,0.7328866132694412,-0.20111735078441975,-0.714452847323363,0.21766792445996105,-0.8542347475546543,-0.39258495781639474,-0.7503307357510864
2023-01-01 04:00:00,0.8660254037844386,0.5000000000000001,0.0,1.0,0.017201575418260506,0.9998520419557735,1.184632491077764,-0.9470197150120105,-0.748202866755617,-0.9620985816481616,-0.8060943268124444,0.6700996460101818,0.00472454505860824,-0.714452847323363,0.3576594917665703,-0.8542347475546543,-0.3001084994675974,-0.7503212696242627
2023-01-01 05:00:00,0.9659258262890684,0.2588190451025207,0.0,1.0,0.017201575418260506,0.9998520419557735,0.8670720535719054,-0.8524268222874118,-0.748202866755617,-1.0097964167944748,-0.8365290136646986,0.6186771189660466,0.059259999818506624,-0.714452847323363,0.0024304876224765675,-0.8542347475546543,-0.3042821024876603,-0.7503199173204308
2023-01-01 06:00:00,1.0,6.123233995736766e-17,0.0,1.0,0.017201575418260506,0.9998520419557735,0.5539262417131703,-0.7661996697786961,-0.748202866755617,-1.052440199747358,-0.8902655932052732,0.5942489756193918,0.015955426022103918,-0.714452847323363,-0.36413890721195435,-0.8542347475546543,-0.33781367003297713,-0.7503347926625822
2023-01-01 07:00:00,0.9659258262890684,-0.2588190451025206,0.0,1.0,0.017201575418260506,0.9998520419557735,0.2523011032590499,-0.6800262542021107,-0.748202866755617,-0.9798593146438733,-0.8605844845221001,0.6322031213483188,-0.08156275020826091,-0.714452847323363,-0.08960243678755409,-0.8542347475546543,-0.3501458217292464,-0.7504375677538105
2023-01-01 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.03880665442915912,-0.5880592313794701,-0.7352282133926656,-0.9569245754371016,-0.863600350487542,0.6470832732936168,-0.14152628253243718,-0.7126704637867666,-0.18226632641336188,-0.6007157120775248,-0.36796694116212886,-0.7360490549818571
2023-01-01 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.28616050752835404,-0.4853701164540819,-0.31878013398440896,-0.8029901130483987,-0.7825012908295375,0.6487261637304275,-0.2340839125020098,-0.5332304201525926,-0.1780163004975521,-0.07542372931891148,-0.3737327866709447,-0.6778283181048921
