datetime_utc,dewpoint_2m_C,temperature_2m_C,surface_pressure_hPa,total_precip_mm,ssrd_wm2,strd_wm2,solar_zenith,solar_azimuth,clearsky_ghi,clearsky_dni,clearsky_dhi,hour_sin,hour_cos,month_sin,month_cos,pv_generation_gwh,ssrd_wm2_forecast,temperature_2m_C_forecast,dewpoint_2m_C_forecast,surface_pressure_hPa_forecast,total_precip_mm_forecast,kt_forecast,dewpoint_depression_C_forecast
2023-01-01 00:00:00,6.104737007036134,10.61320707130708,978.9888477946088,0.0043908971114648,0.0,309.00205733589746,162.27715759490235,337.76789556705177,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.088,0.0,12.245280368329807,5.910265082155575,979.036902408029,0.0,0.0,6.335015286174232
2023-01-01 01:00:00,5.716295852595022,10.356089886399168,978.6866448000612,0.0034247413199955,0.0,307.23665153601576,162.09036789543072,23.959832591374497,0.0,0.0,0.0,0.2588190451025207,0.9659258262890684,0.0,1.0,0.088,0.0,12.066974149516243,5.270315995468958,978.550704625641,0.0,0.0,6.796658154047285
2023-01-01 02:00:00,5.2660213786789605,10.407387857661991,978.235778877471,0.0071560374264266,0.0,321.8876061851149,154.52517644335285,55.993655923267234,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,0.0,1.0,0.088,0.0,12.00112423416876,4.820037677475933,978.4840008769756,0.0,0.0,7.181086556692827
2023-01-01 03:00:00,4.8004303660561884,10.525150803244834,977.8783960881198,0.0144405158461191,0.0,333.69816806581287,144.0492509289605,73.85894310410988,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.0,1.0,0.079,0.0,12.014773387034564,4.042539007149788,978.0083568479218,0.0,0.0,7.972234379884776
2023-01-01 04:00:00,4.280342232228072,10.679345141513863,977.4748814880976,0.0714080893409771,0.0,339.434245165581,132.69831022275733,85.76508674862953,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.086,0.0,12.025707163186507,3.391144981140961,977.8456104522515,0.0,0.0,8.634562182045546
2023-01-01 05:00:00,4.061477970410203,10.430049487618826,977.1444030251602,0.0865009960322329,0.0,324.8789330489477,121.16935955251684,95.28826556827904,0.0,0.0,0.0,0.9659258262890684,0.2588190451025207,0.0,1.0,0.087,0.0,11.951187774308671,2.9684954588085306,977.1357115886659,0.0,0.0,8.982692315500142
2023-01-01 06:00:00,3.865804517967873,9.989884100023978,976.9874100547702,0.0745162808686525,0.0,309.85895469139155,109.80068074017214,103.96922001208108,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0,1.0,0.076,0.0,12.156946581621673,2.814239893463688,976.9002756789455,0.0,0.0,9.342706688157985
2023-01-01 07:00:00,4.198846086658221,10.233007068018416,977.2313309288228,0.0475277329409543,0.0,321.1079348360565,98.85025703672244,112.64476446788969,0.0,0.0,0.0,0.9659258262890684,-0.2588190451025206,0.0,1.0,0.107,0.0,12.12455207246418,2.1695973625766847,976.8574999695494,0.0,0.0,9.954954709887495
2023-01-01 08:00:00,4.304083457517461,10.208303601162836,977.3269615799368,0.0309325839276855,0.50287320302304,317.311083172171,88.28166415887138,121.90358274296544,3.9809390291966302,68.24310754040401,1.8717710657956887,0.8660254037844387,-0.4999999999999998,0.0,1.0,10.64,0.5605945570663537,12.22406851778921,1.846146787873374,976.8444793159588,0.027401431581682574,0.1408196792151032,10.377921729915835
2023-01-01 09:00:00,5.01042059788636,10.872599679051262,977.3375199857084,0.0053168871512506,51.12923259209936,317.4852256351645,79.30154562498782,132.24185210019067,131.757332476767,580.724669907811,24.05913544045021,0.7071067811865476,-0.7071067811865475,0.0,1.0,53.693,38.48222703115293,12.620843601934215,2.3815790435280406,977.2498593184761,0.07843532912980458,0.2920689597137872,10.239264558406175
2023-01-01 10:00:00,5.774542421630466,12.36850148992496,977.2726246556042,0.0142808408394951,147.59810932107007,310.91228053050713,71.62612114884608,144.07026895606023,281.1706348802365,771.4733803531029,38.08115903849315,0.4999999999999999,-0.8660254037844387,0.0,1.0,127.044,112.69866951413108,13.346268590058502,3.1768470286356933,977.1456364367176,0.015419750630326308,0.4008194865802207,10.169421561422809
2023-01-01 11:00:00,6.179059451199983,14.09076089402806,976.8992200823384,0.0005984896133694,267.660182969438,306.1374743899628,65.99768836293143,157.5821757857944,391.5097929482383,847.9001329650537,46.65530118719043,0.258819045102521,-0.9659258262890682,0.0,1.0,207.987,192.91893658572232,14.312459145517069,3.9823532994181914,977.0081623704328,0.013802217611783954,0.4927563500594945,10.330105846098878
