datetime_utc,hour_sin,hour_cos,month_sin,month_cos,doy_sin,doy_cos,solar_zenith,solar_azimuth,clearsky_ghi,dewpoint_2m_C,temperature_2m_C,surface_pressure_hPa,total_precip_mm,ssrd_wm2,strd_wm2,kt,dewpoint_depression_C,pv_generation_mwh
2023-01-01 00:00:00,0.0,1.0,0.0,1.0,0.017201575418260506,0.9998520419557735,1.9951344999942884,1.5261717677033155,-0.7635572865520162,-1.5367648634995774,-1.040885191669786,1.282442007380944,-0.1867609411687419,-0.736680205435175,-1.1396141333824055,-0.8705674989696895,0.05183533841349938,-0.7587144201344479
2023-01-01 01:00:00,0.2588190451025207,0.9659258262890684,0.0,1.0,0.017201575418260506,0.9998520419557735,1.983442496814807,-1.5157004064447273,-0.7635572865520162,-1.5826425129085764,-1.0658859308570663,1.212154559460556,-0.1867609411687419,-0.736680205435175,-1.1370892516021616,-0.8705674989696895,0.06076950065093623,-0.7586447498161646
2023-01-01 02:00:00,0.4999999999999999,0.8660254037844387,0.0,1.0,0.017201575418260506,0.9998520419557735,1.7499868491908228,-1.1896417697413986,-0.7635572865520162,-1.6173216957938217,-1.0660033689267392,1.1160371820116426,-0.1867609411687419,-0.736680205435175,-0.9756121716769932,-0.8705674989696895,0.09036545635828863,-0.7585916676689012
2023-01-01 03:00:00,0.7071067811865475,0.7071067811865476,0.0,1.0,0.017201575418260506,0.9998520419557735,1.450102397812509,-1.0288508390354478,-0.7635572865520162,-1.6301812050726452,-1.0653085873576082,1.0752977160476547,-0.1867609411687419,-0.736680205435175,-0.9092675898052018,-0.8705674989696895,0.10223804744293677,-0.7586314792793487
2023-01-01 04:00:00,0.8660254037844386,0.5000000000000001,0.0,1.0,0.017201575418260506,0.9998520419557735,1.1341692562408086,-0.9240102046762833,-0.7635572865520162,-1.6174906088450796,-1.0757727273781064,1.0095557523506817,-0.1867609411687419,-0.736680205435175,-0.8516886379604593,-0.8705674989696895,0.07862808302163277,-0.7586281616451448
2023-01-01 05:00:00,0.9659258262890684,0.2588190451025207,0.0,1.0,0.017201575418260506,0.9998520419557735,0.8167018186978471,-0.8392784225052944,-0.7635572865520162,-1.6035525073663217,-1.1133425444649863,0.97060833850505,-0.1867609411687419,-0.736680205435175,-0.9875776456570801,-0.8705674989696895,0.020980384745657804,-0.7585452207900456
2023-01-01 06:00:00,1.0,6.123233995736766e-17,0.0,1.0,0.017201575418260506,0.9998520419557735,0.5048160109557768,-0.7605866846888332,-0.7635572865520162,-1.599462462245125,-1.1487626537530895,0.9598629060271132,-0.1867609411687419,-0.736680205435175,-1.0798361503127072,-0.8705674989696895,-0.025607574423259248,-0.7587708199159153
2023-01-01 07:00:00,0.9659258262890684,-0.2588190451025206,0.0,1.0,0.017201575418260506,0.9998520419557735,0.20443539537155556,-0.6803306472741112,-0.7635572865520162,-1.5505153318587825,-1.0623542791226066,1.0777005155104642,-0.1867609411687419,-0.736680205435175,-0.9280716349463868,-0.8705674989696895,0.037514610592985186,-0.7587708199159153
2023-01-01 08:00:00,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.0832525811517099,-0.5928890329928623,-0.6951624559989487,-1.5365699373866086,-1.0348534124843518,1.0970801625377131,-0.1867609411687419,-0.72230959540659,-0.8394572119694607,-0.48347105088958636,0.05900448157825982,-0.6938049069338652
2023-01-01 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.33378017929648823,-0.4931544858830603,-0.18125759907592723,-1.307736235924874,-0.8170834220457377,1.1227436596264222,-0.1867609411687419,-0.438551483465904,-0.565913928956693,0.07267752194486897,0.12763850820459358,-0.5441331574561711
2023-01-01 10:00:00,0.4999999999999999,-0.8660254037844387,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.547078243372732,-0.3765227625466346,0.3128061321620579,-1.112427151598033,-0.44093937516072457,1.1382912752770125,-0.1867609411687419,0.015845178219812267,-0.4281129764896506,0.4174728992059376,0.41764759158336756,-0.4362934576562765
2023-01-01 11:00:00,0.258819045102521,-0.9659258262890682,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.7040993153225982,-0.2404859244163548,0.6682608340275428,-1.085210461648934,-0.20827207625662916,1.0954976213021168,-0.1867609411687419,0.33674339708918294,-0.4115164227450628,0.5106133439528358,0.6772955247859129,-0.2533756958206452
2023-01-01 12:00:00,1.2246467991473532e-16,-1.0,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.7870825950470881,-0.08783467827815188,0.8501371532458634,-1.0468021963533876,-0.021376366179103632,0.9567182927355651,-0.1867609411687419,0.83441982555138,-0.7228188099937042,0.923132445361506,0.8716754091399286,-0.2661751285795436
2023-01-01 13:00:00,-0.2588190451025208,-0.9659258262890684,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.7840454574696973,0.07126015900472193,0.8435667966787246,-0.9229200901808086,0.056513747250301304,0.8553861832245191,-0.1867609411687419,0.9255119252476912,-0.731456821627906,1.0348891508515161,0.8601772965123187,-0.2319437788630289
2023-01-01 14:00:00,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.017201575418260506,0.9998520419557735,-0.6954650009562064,0.2230212459203464,0.649067206292757,-0.8611725259181775,0.0674614517498761,0.737438309728249,-0.1867609411687419,0.8485540580388884,-0.7035524900056355,1.1968775668134823,0.8205416947763824,-0.21378968449893032
